2025-11-17T15:17:40.052760 - Last deployed machine: omani002 (bqk3ge)
2025-11-17T15:18:06.298334 - Hostname             | System ID  | Status     | OS        
2025-11-17T15:18:06.308523 - omani009             | np8y6f     | Failed commissioning | -         
2025-11-17T15:18:06.308730 - omani010             | f3phwb     | Allocated  | -         
2025-11-17T15:18:06.308936 - irvingi01            | kqrcx4     | Ready      | -         
2025-11-17T15:18:06.309299 - irvingi02            | gghwhd     | Deployed   | jammy     
2025-11-17T15:18:06.309597 - irvingi03            | hw3h8x     | Deployed   | jammy     
2025-11-17T15:18:06.309876 - irvingi04            | n67y3g     | Deployed   | jammy     
2025-11-17T15:18:06.310137 - irvingi05            | wsskrw     | Deployed   | jammy     
2025-11-17T15:18:06.310394 - irvingi06            | cwfbm7     | Deployed   | jammy     
2025-11-17T15:18:06.310655 - irvingi07            | nabcab     | Deployed   | jammy     
2025-11-17T15:18:06.310906 - irvingi08            | kbykkp     | Deployed   | jammy     
2025-11-17T15:18:06.311157 - braggi01             | xxcwcs     | Deployed   | jammy     
2025-11-17T15:18:06.311385 - braggi02             | 7y8rp8     | Deployed   | jammy     
2025-11-17T15:18:06.311614 - braggi03             | xndrfr     | Deployed   | jammy     
2025-11-17T15:18:06.311841 - braggi04             | 43ptc8     | Deployed   | 9-stream  
2025-11-17T15:18:06.312036 - braggi05             | wcrhdk     | Allocated  | -         
2025-11-17T15:18:06.312259 - braggi06             | qrebpa     | Deployed   | 9-stream  
2025-11-17T15:18:06.312486 - braggi07             | cec3xk     | Deployed   | 9-stream  
2025-11-17T15:18:06.312678 - braggi08             | 6m3f8y     | Allocated  | -         
2025-11-17T15:18:06.312870 - braggi09             | cxpyab     | Allocated  | -         
2025-11-17T15:18:06.313058 - braggi10             | n8etyc     | Allocated  | -         
2025-11-17T15:18:06.313288 - braggi11             | x8c7d6     | Deployed   | jammy     
2025-11-17T15:18:06.313482 - braggi12             | hbrbsb     | Allocated  | -         
2025-11-17T15:18:06.313676 - braggi13             | 6rqakh     | Allocated  | -         
2025-11-17T15:18:06.313903 - braggi14             | xtysxg     | Deployed   | 9-stream  
2025-11-17T15:18:06.314094 - braggi15             | gyahnb     | Allocated  | -         
2025-11-17T15:18:06.314322 - braggi16             | bgxfb7     | Deployed   | 9-stream  
2025-11-17T15:18:06.314550 - braggi17             | h74db3     | Deployed   | jammy     
2025-11-17T15:18:06.314773 - braggi18             | awbqm3     | Deployed   | noble     
2025-11-17T15:18:06.314963 - braggi22             | 4pp7aa     | Allocated  | -         
2025-11-17T15:18:06.315156 - sulcata02            | pfh3pf     | Failed commissioning | -         
2025-11-17T15:18:06.315381 - braggi20             | 4r44k6     | Deployed   | jammy     
2025-11-17T15:18:06.315606 - braggi19             | k7nfqc     | Deployed   | 9-stream  
2025-11-17T15:18:06.315835 - gibba004             | 7qcacw     | Deployed   | noble     
2025-11-17T15:18:06.316058 - gibba005             | ehfgy8     | Deployed   | noble     
2025-11-17T15:18:06.316284 - gibba006             | gqpysn     | Deployed   | noble     
2025-11-17T15:18:06.316476 - gibba008             | xynwxt     | Allocated  | -         
2025-11-17T15:18:06.316668 - gibba009             | 8hfsy8     | Allocated  | -         
2025-11-17T15:18:06.316859 - gibba010             | p8fsyp     | Allocated  | -         
2025-11-17T15:18:06.317112 - gibba003             | aqk6pm     | Deployed   | noble     
2025-11-17T15:18:06.317347 - refarch-r220-01      | ekx4yy     | Deployed   | noble     
2025-11-17T15:18:06.317574 - refarch-r220-02      | g43rt7     | Deployed   | 9-stream  
2025-11-17T15:18:06.317818 - refarch-r220-04      | k3rg6d     | Deployed   | 9-stream  
2025-11-17T15:18:06.318023 - refarch-r220-05      | d4hweb     | Ready      | -         
2025-11-17T15:18:06.318251 - refarch-r220-06      | pm3e7q     | Deployed   | noble     
2025-11-17T17:41:56.703627 - Hostname             | System ID  | Status     | OS        
2025-11-17T17:41:56.704888 - -----------------------------------------------------------------
2025-11-17T17:41:56.705281 - confusa01            | erwppa     | Allocated  | -         
2025-11-17T17:41:56.705609 - incerta08            | e3hbwr     | New        | -         
2025-11-17T17:41:56.705912 - omani002             | bqk3ge     | Deployed   | -         
2025-11-17T17:41:56.706309 - smithi004            | 6kqcxb     | Deployed   | jammy     
2025-11-17T17:41:56.706577 - smithi015            | h8eaq4     | Ready      | -         
2025-11-17T17:41:56.706833 - smithi034            | rnhtk4     | Allocated  | -         
2025-11-17T17:41:56.707128 - smithi108            | x7et47     | Deployed   | 9-stream  
2025-11-17T17:41:56.707412 - smithi147            | p4f766     | Deployed   | 9-stream  
2025-11-17T17:41:56.707655 - incerta02            | 664qmy     | New        | -         
2025-11-17T17:41:56.708049 - incerta03            | kqaxm3     | New        | -         
2025-11-17T17:41:56.708367 - incerta04            | cm8a46     | New        | -         
2025-11-17T17:41:56.708680 - adami01              | f3tqfp     | Deployed   | jammy     
2025-11-17T17:41:56.708944 - adami02              | 8k73pr     | Allocated  | -         
2025-11-17T17:41:56.709201 - adami03              | rayt3b     | Allocated  | -         
2025-11-17T17:41:56.709457 - adami04              | k48a4y     | Allocated  | -         
2025-11-17T17:41:56.709755 - adami05              | 6tttwd     | Deployed   | jammy     
2025-11-17T17:41:56.710009 - adami06              | hsab36     | Allocated  | -         
2025-11-17T17:41:56.710307 - adami07              | gnmttw     | Deployed   | jammy     
2025-11-17T17:41:56.710613 - adami08              | eant8f     | Deployed   | 9-stream  
2025-11-17T17:41:56.710914 - adami09              | a4dae7     | Deploying  | jammy     
2025-11-17T17:41:56.711216 - adami10              | m8hpw6     | Deployed   | 9-stream  
2025-11-17T17:41:56.711471 - confusa02            | ksdh6a     | Allocated  | -         
2025-11-17T17:41:56.711726 - confusa03            | e7dwrh     | Allocated  | -         
2025-11-17T17:41:56.711977 - confusa04            | 7ehyxt     | Allocated  | -         
2025-11-17T17:41:56.712229 - confusa05            | pdawwb     | Allocated  | -         
2025-11-17T17:41:56.712480 - confusa06            | enhefn     | Allocated  | -         
2025-11-17T17:41:56.712732 - confusa07            | x8ktgh     | Allocated  | -         
2025-11-17T17:41:56.712983 - confusa08            | g8pw3x     | Allocated  | -         
2025-11-17T17:41:56.713281 - confusa10            | kkgf43     | Deployed   | 9-stream  
2025-11-17T17:41:56.713577 - confusa11            | b4tcdt     | Deployed   | noble     
2025-11-17T17:41:56.713829 - confusa12            | twyrs3     | Allocated  | -         
2025-11-17T17:41:56.714081 - confusa13            | 78tdd3     | Failed commissioning | -         
2025-11-17T17:41:56.714334 - confusa14            | w8ddrg     | Allocated  | -         
2025-11-17T17:41:56.714588 - omani001             | wd7f36     | Allocated  | -         
2025-11-17T17:41:56.714884 - omani003             | a47776     | Deployed   | noble     
2025-11-17T17:41:56.715178 - omani004             | qxafrm     | Deployed   | noble     
2025-11-17T17:41:56.715492 - omani005             | ayyn8e     | Allocated  | -         
2025-11-17T17:41:56.715877 - omani006             | cte77n     | Broken     | -         
2025-11-17T17:41:56.716216 - omani007             | rbx68a     | Allocated  | -         
2025-11-17T17:41:56.716556 - omani008             | qsqedf     | Allocated  | -         
2025-11-17T17:41:56.716845 - omani009             | np8y6f     | Failed commissioning | -         
2025-11-17T17:41:56.717180 - omani010             | f3phwb     | Allocated  | -         
2025-11-17T17:41:56.717483 - irvingi01            | kqrcx4     | Ready      | -         
2025-11-17T17:41:56.717786 - irvingi02            | gghwhd     | Deployed   | jammy     
2025-11-17T17:41:56.718173 - irvingi03            | hw3h8x     | Deployed   | jammy     
2025-11-17T17:41:56.718515 - irvingi04            | n67y3g     | Deployed   | jammy     
2025-11-17T17:41:56.718801 - irvingi05            | wsskrw     | Deployed   | jammy     
2025-11-17T17:41:56.719071 - irvingi06            | cwfbm7     | Deployed   | jammy     
2025-11-17T17:41:56.719346 - irvingi07            | nabcab     | Deployed   | jammy     
2025-11-17T17:41:56.719674 - irvingi08            | kbykkp     | Deployed   | jammy     
2025-11-17T17:41:56.719946 - braggi01             | xxcwcs     | Deployed   | jammy     
2025-11-17T17:41:56.720211 - braggi02             | 7y8rp8     | Deployed   | jammy     
2025-11-17T17:41:56.720484 - braggi03             | xndrfr     | Deployed   | jammy     
2025-11-17T17:41:56.720752 - braggi04             | 43ptc8     | Deployed   | 9-stream  
2025-11-17T17:41:56.720985 - braggi05             | wcrhdk     | Allocated  | -         
2025-11-17T17:41:56.721256 - braggi06             | qrebpa     | Deployed   | 9-stream  
2025-11-17T17:41:56.721529 - braggi07             | cec3xk     | Deployed   | 9-stream  
2025-11-17T17:41:56.721758 - braggi08             | 6m3f8y     | Allocated  | -         
2025-11-17T17:41:56.721989 - braggi09             | cxpyab     | Allocated  | -         
2025-11-17T17:41:56.722217 - braggi10             | n8etyc     | Allocated  | -         
2025-11-17T17:41:56.722485 - braggi11             | x8c7d6     | Deployed   | jammy     
2025-11-17T17:41:56.722713 - braggi12             | hbrbsb     | Allocated  | -         
2025-11-17T17:41:56.722943 - braggi13             | 6rqakh     | Allocated  | -         
2025-11-17T17:41:56.723207 - braggi14             | xtysxg     | Deployed   | 9-stream  
2025-11-17T17:41:56.723433 - braggi15             | gyahnb     | Allocated  | -         
2025-11-17T17:41:56.723700 - braggi16             | bgxfb7     | Deployed   | 9-stream  
2025-11-17T17:41:56.723965 - braggi17             | h74db3     | Deployed   | jammy     
2025-11-17T17:41:56.724229 - braggi18             | awbqm3     | Deployed   | noble     
2025-11-17T17:41:56.724452 - braggi22             | 4pp7aa     | Allocated  | -         
2025-11-17T17:41:56.724682 - sulcata02            | pfh3pf     | Failed commissioning | -         
2025-11-17T17:41:56.724944 - braggi20             | 4r44k6     | Deployed   | jammy     
2025-11-17T17:41:56.725212 - braggi19             | k7nfqc     | Deployed   | 9-stream  
2025-11-17T17:41:56.725542 - gibba004             | 7qcacw     | Deployed   | noble     
2025-11-17T17:41:56.725992 - gibba005             | ehfgy8     | Deployed   | noble     
2025-11-17T17:41:56.726270 - gibba006             | gqpysn     | Deployed   | noble     
2025-11-17T17:41:56.726549 - gibba008             | xynwxt     | Allocated  | -         
2025-11-17T17:41:56.726768 - gibba009             | 8hfsy8     | Allocated  | -         
2025-11-17T17:41:56.726976 - gibba010             | p8fsyp     | Allocated  | -         
2025-11-17T17:41:56.727216 - gibba003             | aqk6pm     | Deployed   | noble     
2025-11-17T17:41:56.727455 - refarch-r220-01      | ekx4yy     | Deployed   | noble     
2025-11-17T17:41:56.727693 - refarch-r220-02      | g43rt7     | Deployed   | 9-stream  
2025-11-17T17:41:56.727931 - refarch-r220-04      | k3rg6d     | Deployed   | 9-stream  
2025-11-17T17:41:56.728139 - refarch-r220-05      | d4hweb     | Ready      | -         
2025-11-17T17:41:56.728378 - refarch-r220-06      | pm3e7q     | Deployed   | noble     
2025-11-17T17:43:02.815783 - 
Machine Details
------------------------------------------------------------
2025-11-17T17:43:02.816330 - Name: irvingi04
System ID: n67y3g
Status: Deployed
OS Distro: jammy
OS Type: ubuntu
Owner: User
Power Type: ipmi
Power Status: PowerState.ON
2025-11-17T17:43:57.604144 - 
Machine Details
------------------------------------------------------------
2025-11-17T17:43:57.604633 - Name: irvingi04
System ID: n67y3g
Status: Deployed
OS Distro: jammy
OS Type: ubuntu
Owner: User
Power Type: ipmi
Power Status: PowerState.ON
2025-11-17T18:00:38.771042 - 
Machine Details
------------------------------------------------------------
2025-11-17T18:00:38.771564 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: -
OS Type: -
Owner: -
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T18:01:14.893529 - 
Machine Details
------------------------------------------------------------
2025-11-17T18:01:14.894047 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: -
OS Type: -
Owner: -
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T18:17:56.388333 - 
Machine Details
------------------------------------------------------------
2025-11-17T18:17:56.388849 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: -
OS Type: -
Owner: -
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T18:58:32.501524 - Hostname             | System ID  | Status     | OS        
2025-11-17T18:58:32.502048 - -----------------------------------------------------------------
2025-11-17T18:58:32.502402 - confusa01            | erwppa     | Allocated  |           
2025-11-17T18:58:32.502675 - incerta08            | e3hbwr     | New        |           
2025-11-17T18:58:32.502933 - omani002             | bqk3ge     | Deployed   |           
2025-11-17T18:58:32.503181 - smithi004            | 6kqcxb     | Deployed   | jammy     
2025-11-17T18:58:32.503434 - smithi015            | h8eaq4     | Ready      |           
2025-11-17T18:58:32.503689 - smithi034            | rnhtk4     | Allocated  |           
2025-11-17T18:58:32.503941 - smithi108            | x7et47     | Deployed   | 9-stream  
2025-11-17T18:58:32.504189 - smithi147            | p4f766     | Deployed   | 9-stream  
2025-11-17T18:58:32.504434 - incerta02            | 664qmy     | New        |           
2025-11-17T18:58:32.504820 - incerta03            | kqaxm3     | New        |           
2025-11-17T18:58:32.505116 - incerta04            | cm8a46     | New        |           
2025-11-17T18:58:32.505375 - adami01              | f3tqfp     | Deployed   | jammy     
2025-11-17T18:58:32.505624 - adami02              | 8k73pr     | Allocated  |           
2025-11-17T18:58:32.505873 - adami03              | rayt3b     | Allocated  |           
2025-11-17T18:58:32.506114 - adami04              | k48a4y     | Allocated  |           
2025-11-17T18:58:32.506356 - adami05              | 6tttwd     | Deployed   | jammy     
2025-11-17T18:58:32.506599 - adami06              | hsab36     | Allocated  |           
2025-11-17T18:58:32.506846 - adami07              | gnmttw     | Deployed   | jammy     
2025-11-17T18:58:32.507089 - adami08              | eant8f     | Deployed   | 9-stream  
2025-11-17T18:58:32.507328 - adami09              | a4dae7     | Deploying  | jammy     
2025-11-17T18:58:32.507568 - adami10              | m8hpw6     | Deployed   | 9-stream  
2025-11-17T18:58:32.507807 - confusa02            | ksdh6a     | Allocated  |           
2025-11-17T18:58:32.508045 - confusa03            | e7dwrh     | Allocated  |           
2025-11-17T18:58:32.508281 - confusa04            | 7ehyxt     | Allocated  |           
2025-11-17T18:58:32.508523 - confusa05            | pdawwb     | Allocated  |           
2025-11-17T18:58:32.508763 - confusa06            | enhefn     | Allocated  |           
2025-11-17T18:58:32.509001 - confusa07            | x8ktgh     | Allocated  |           
2025-11-17T18:58:32.509241 - confusa08            | g8pw3x     | Allocated  |           
2025-11-17T18:58:32.509472 - confusa10            | kkgf43     | Deployed   | 9-stream  
2025-11-17T18:58:32.509697 - confusa11            | b4tcdt     | Deployed   | noble     
2025-11-17T18:58:32.509918 - confusa12            | twyrs3     | Allocated  |           
2025-11-17T18:58:32.510136 - confusa13            | 78tdd3     | Failed commissioning |           
2025-11-17T18:58:32.510349 - confusa14            | w8ddrg     | Allocated  |           
2025-11-17T18:58:32.510564 - omani001             | wd7f36     | Allocated  |           
2025-11-17T18:58:32.510777 - omani003             | a47776     | Deployed   | noble     
2025-11-17T18:58:32.510992 - omani004             | qxafrm     | Deployed   | noble     
2025-11-17T18:58:32.511205 - omani005             | ayyn8e     | Allocated  |           
2025-11-17T18:58:32.511417 - omani006             | cte77n     | Broken     |           
2025-11-17T18:58:32.511632 - omani007             | rbx68a     | Allocated  |           
2025-11-17T18:58:32.511844 - omani008             | qsqedf     | Allocated  |           
2025-11-17T18:58:32.512105 - omani009             | np8y6f     | Failed commissioning |           
2025-11-17T18:58:32.512323 - omani010             | f3phwb     | Allocated  |           
2025-11-17T18:58:32.512539 - irvingi01            | kqrcx4     | Ready      |           
2025-11-17T18:58:32.512754 - irvingi02            | gghwhd     | Deployed   | jammy     
2025-11-17T18:58:32.512971 - irvingi03            | hw3h8x     | Deployed   | jammy     
2025-11-17T18:58:32.513196 - irvingi04            | n67y3g     | Ready      |           
2025-11-17T18:58:32.513416 - irvingi05            | wsskrw     | Deployed   | jammy     
2025-11-17T18:58:32.513636 - irvingi06            | cwfbm7     | Deployed   | jammy     
2025-11-17T18:58:32.513857 - irvingi07            | nabcab     | Deployed   | jammy     
2025-11-17T18:58:32.514085 - irvingi08            | kbykkp     | Deployed   | jammy     
2025-11-17T18:58:32.514310 - braggi01             | xxcwcs     | Deployed   | jammy     
2025-11-17T18:58:32.514529 - braggi02             | 7y8rp8     | Deployed   | jammy     
2025-11-17T18:58:32.514973 - braggi03             | xndrfr     | Deployed   | jammy     
2025-11-17T18:58:32.515229 - braggi04             | 43ptc8     | Deployed   | 9-stream  
2025-11-17T18:58:32.515463 - braggi05             | wcrhdk     | Allocated  |           
2025-11-17T18:58:32.515692 - braggi06             | qrebpa     | Deployed   | 9-stream  
2025-11-17T18:58:32.515916 - braggi07             | cec3xk     | Deployed   | 9-stream  
2025-11-17T18:58:32.516140 - braggi08             | 6m3f8y     | Allocated  |           
2025-11-17T18:58:32.516363 - braggi09             | cxpyab     | Allocated  |           
2025-11-17T18:58:32.516583 - braggi10             | n8etyc     | Allocated  |           
2025-11-17T18:58:32.516806 - braggi11             | x8c7d6     | Deployed   | jammy     
2025-11-17T18:58:32.517024 - braggi12             | hbrbsb     | Allocated  |           
2025-11-17T18:58:32.517243 - braggi13             | 6rqakh     | Allocated  |           
2025-11-17T18:58:32.517443 - braggi14             | xtysxg     | Deployed   | 9-stream  
2025-11-17T18:58:32.517639 - braggi15             | gyahnb     | Allocated  |           
2025-11-17T18:58:32.517836 - braggi16             | bgxfb7     | Deployed   | 9-stream  
2025-11-17T18:58:32.518034 - braggi17             | h74db3     | Deployed   | jammy     
2025-11-17T18:58:32.518233 - braggi18             | awbqm3     | Deployed   | noble     
2025-11-17T18:58:32.518431 - braggi22             | 4pp7aa     | Allocated  |           
2025-11-17T18:58:32.518634 - sulcata02            | pfh3pf     | Failed commissioning |           
2025-11-17T18:58:32.518837 - braggi20             | 4r44k6     | Deployed   | jammy     
2025-11-17T18:58:32.519037 - braggi19             | k7nfqc     | Deployed   | 9-stream  
2025-11-17T18:58:32.519243 - gibba004             | 7qcacw     | Deployed   | noble     
2025-11-17T18:58:32.519443 - gibba005             | ehfgy8     | Deployed   | noble     
2025-11-17T18:58:32.519646 - gibba006             | gqpysn     | Deployed   | noble     
2025-11-17T18:58:32.519846 - gibba008             | xynwxt     | Allocated  |           
2025-11-17T18:58:32.520043 - gibba009             | 8hfsy8     | Allocated  |           
2025-11-17T18:58:32.520241 - gibba010             | p8fsyp     | Allocated  |           
2025-11-17T18:58:32.520442 - gibba003             | aqk6pm     | Deployed   | noble     
2025-11-17T18:58:32.520643 - refarch-r220-01      | ekx4yy     | Deployed   | noble     
2025-11-17T18:58:32.520844 - refarch-r220-02      | g43rt7     | Deployed   | 9-stream  
2025-11-17T18:58:32.521044 - refarch-r220-04      | k3rg6d     | Deployed   | 9-stream  
2025-11-17T18:58:32.521243 - refarch-r220-05      | d4hweb     | Ready      |           
2025-11-17T18:58:32.521441 - refarch-r220-06      | pm3e7q     | Deployed   | noble     
2025-11-17T18:59:03.377014 - 
Machine Details
------------------------------------------------------------
2025-11-17T18:59:03.377869 - Name: irvingi04
System ID: n67y3g
Status: Ready
OS Distro: 
OS Type: 
Owner: None
Power Type: ipmi
Power Status: PowerState.OFF
2025-11-17T18:59:24.114556 - 
Machine Details
------------------------------------------------------------
2025-11-17T18:59:24.115618 - Name: irvingi08
System ID: kbykkp
Status: Deployed
OS Distro: jammy
OS Type: ubuntu
Owner: User
Power Type: ipmi
Power Status: PowerState.ON
2025-11-17T19:02:35.085311 - Hostname             | System ID  | Status     | OS        
2025-11-17T19:02:35.085518 - -----------------------------------------------------------------
2025-11-17T19:02:35.086167 - confusa01            | erwppa     | Allocated  |           
2025-11-17T19:02:35.086445 - incerta08            | e3hbwr     | New        |           
2025-11-17T19:02:35.086704 - omani002             | bqk3ge     | Deployed   |           
2025-11-17T19:02:35.086959 - smithi004            | 6kqcxb     | Deployed   | jammy     
2025-11-17T19:02:35.087211 - smithi015            | h8eaq4     | Ready      |           
2025-11-17T19:02:35.087458 - smithi034            | rnhtk4     | Allocated  |           
2025-11-17T19:02:35.087704 - smithi108            | x7et47     | Deployed   | 9-stream  
2025-11-17T19:02:35.087944 - smithi147            | p4f766     | Deployed   | 9-stream  
2025-11-17T19:02:35.088188 - incerta02            | 664qmy     | New        |           
2025-11-17T19:02:35.088440 - incerta03            | kqaxm3     | New        |           
2025-11-17T19:02:35.088682 - incerta04            | cm8a46     | New        |           
2025-11-17T19:02:35.088931 - adami01              | f3tqfp     | Deployed   | jammy     
2025-11-17T19:02:35.089175 - adami02              | 8k73pr     | Allocated  |           
2025-11-17T19:02:35.089428 - adami03              | rayt3b     | Allocated  |           
2025-11-17T19:02:35.089694 - adami04              | k48a4y     | Allocated  |           
2025-11-17T19:02:35.089937 - adami05              | 6tttwd     | Deployed   | jammy     
2025-11-17T19:02:35.090193 - adami06              | hsab36     | Allocated  |           
2025-11-17T19:02:35.090438 - adami07              | gnmttw     | Deployed   | jammy     
2025-11-17T19:02:35.090688 - adami08              | eant8f     | Deployed   | 9-stream  
2025-11-17T19:02:35.090934 - adami09              | a4dae7     | Deploying  | jammy     
2025-11-17T19:02:35.091182 - adami10              | m8hpw6     | Deployed   | 9-stream  
2025-11-17T19:02:35.091400 - confusa02            | ksdh6a     | Allocated  |           
2025-11-17T19:02:35.091624 - confusa03            | e7dwrh     | Allocated  |           
2025-11-17T19:02:35.091898 - confusa04            | 7ehyxt     | Allocated  |           
2025-11-17T19:02:35.092142 - confusa05            | pdawwb     | Allocated  |           
2025-11-17T19:02:35.092369 - confusa06            | enhefn     | Allocated  |           
2025-11-17T19:02:35.092589 - confusa07            | x8ktgh     | Allocated  |           
2025-11-17T19:02:35.092809 - confusa08            | g8pw3x     | Allocated  |           
2025-11-17T19:02:35.093069 - confusa10            | kkgf43     | Deployed   | 9-stream  
2025-11-17T19:02:35.093295 - confusa11            | b4tcdt     | Deployed   | noble     
2025-11-17T19:02:35.093518 - confusa12            | twyrs3     | Allocated  |           
2025-11-17T19:02:35.093759 - confusa13            | 78tdd3     | Failed commissioning |           
2025-11-17T19:02:35.093974 - confusa14            | w8ddrg     | Allocated  |           
2025-11-17T19:02:35.094189 - omani001             | wd7f36     | Allocated  |           
2025-11-17T19:02:35.094403 - omani003             | a47776     | Deployed   | noble     
2025-11-17T19:02:35.094618 - omani004             | qxafrm     | Deployed   | noble     
2025-11-17T19:02:35.094834 - omani005             | ayyn8e     | Allocated  |           
2025-11-17T19:02:35.095048 - omani006             | cte77n     | Broken     |           
2025-11-17T19:02:35.095261 - omani007             | rbx68a     | Allocated  |           
2025-11-17T19:02:35.095515 - omani008             | qsqedf     | Allocated  |           
2025-11-17T19:02:35.095735 - omani009             | np8y6f     | Failed commissioning |           
2025-11-17T19:02:35.095963 - omani010             | f3phwb     | Allocated  |           
2025-11-17T19:02:35.096180 - irvingi01            | kqrcx4     | Ready      |           
2025-11-17T19:02:35.096396 - irvingi02            | gghwhd     | Deployed   | jammy     
2025-11-17T19:02:35.096615 - irvingi03            | hw3h8x     | Deployed   | jammy     
2025-11-17T19:02:35.096831 - irvingi04            | n67y3g     | Ready      |           
2025-11-17T19:02:35.097048 - irvingi05            | wsskrw     | Deployed   | jammy     
2025-11-17T19:02:35.097264 - irvingi06            | cwfbm7     | Deployed   | jammy     
2025-11-17T19:02:35.097477 - irvingi07            | nabcab     | Deployed   | jammy     
2025-11-17T19:02:35.097691 - irvingi08            | kbykkp     | Deployed   | jammy     
2025-11-17T19:02:35.097905 - braggi01             | xxcwcs     | Deployed   | jammy     
2025-11-17T19:02:35.098125 - braggi02             | 7y8rp8     | Deployed   | jammy     
2025-11-17T19:02:35.098342 - braggi03             | xndrfr     | Deployed   | jammy     
2025-11-17T19:02:35.098560 - braggi04             | 43ptc8     | Deployed   | 9-stream  
2025-11-17T19:02:35.098782 - braggi05             | wcrhdk     | Allocated  |           
2025-11-17T19:02:35.098999 - braggi06             | qrebpa     | Deployed   | 9-stream  
2025-11-17T19:02:35.099206 - braggi07             | cec3xk     | Deployed   | 9-stream  
2025-11-17T19:02:35.099400 - braggi08             | 6m3f8y     | Allocated  |           
2025-11-17T19:02:35.099594 - braggi09             | cxpyab     | Allocated  |           
2025-11-17T19:02:35.099789 - braggi10             | n8etyc     | Allocated  |           
2025-11-17T19:02:35.099984 - braggi11             | x8c7d6     | Deployed   | jammy     
2025-11-17T19:02:35.100181 - braggi12             | hbrbsb     | Allocated  |           
2025-11-17T19:02:35.100377 - braggi13             | 6rqakh     | Allocated  |           
2025-11-17T19:02:35.100573 - braggi14             | xtysxg     | Deployed   | 9-stream  
